side,angle_deg,rate_toward_dps,wheel_relative_rpm,recoverable_nominal,ensemble_recovered,ensemble_total,classification,sat_pct_1s,speed_guard_pct,max_abs_angle_deg,max_opposite_deg,final_angle_deg,final_rate_dps,final_wheel_rpm
-,2.0,0.0,-400.0,0,0,5,not_recoverable,25.2,76.4,20.127,0.000,-20.127,-71.560,-496.26
-,2.0,0.0,-350.0,0,0,5,not_recoverable,34.0,69.6,20.084,0.000,-20.084,-71.422,-495.91
-,2.0,0.0,-300.0,0,0,5,not_recoverable,35.6,66.5,20.007,0.000,-20.007,-71.167,-496.33
-,2.0,0.0,-250.0,0,0,5,not_recoverable,36.4,48.0,20.023,20.023,20.023,63.397,-280.44
-,2.0,0.0,-200.0,0,0,5,not_recoverable,33.6,19.4,20.097,20.097,20.097,63.664,-278.64
-,2.0,0.0,-150.0,0,0,5,not_recoverable,0.0,0.0,20.092,20.092,20.092,63.675,-265.79
-,2.0,0.0,-100.0,0,0,5,not_recoverable,0.0,0.0,20.036,20.036,20.036,63.401,-183.90
-,2.0,0.0,-50.0,0,0,5,not_recoverable,0.0,0.0,20.047,20.047,20.047,63.421,-160.38
-,2.0,0.0,0.0,0,0,5,not_recoverable,14.0,28.4,20.009,0.000,-20.009,-70.938,-496.28
-,2.0,0.0,50.0,0,0,5,not_recoverable,25.6,0.0,20.039,0.000,-20.039,-63.255,-426.70
-,2.0,0.0,100.0,0,0,5,not_recoverable,31.0,0.0,20.016,0.000,-20.016,-63.179,-285.27
-,2.0,0.0,150.0,0,0,5,not_recoverable,33.8,0.0,20.113,0.000,-20.113,-63.529,-175.00
-,2.0,0.0,200.0,0,0,5,not_recoverable,30.0,0.0,20.073,0.000,-20.073,-63.412,-78.58
-,2.0,0.0,250.0,0,0,5,not_recoverable,26.2,0.0,20.081,0.000,-20.081,-63.470,8.08
-,2.0,0.0,300.0,0,0,5,not_recoverable,22.6,0.0,20.088,0.000,-20.088,-63.538,88.74
-,2.0,0.0,350.0,0,0,5,not_recoverable,19.3,0.0,20.013,0.000,-20.013,-63.334,165.66
-,2.0,0.0,400.0,0,0,5,not_recoverable,18.4,0.0,20.031,0.000,-20.031,-63.464,238.85
-,2.0,5.0,-400.0,0,0,5,not_recoverable,22.8,50.9,20.033,20.033,20.033,63.431,-280.69
-,2.0,5.0,-350.0,0,0,5,not_recoverable,23.6,23.2,20.083,20.083,20.083,63.617,-277.52
-,2.0,5.0,-300.0,0,0,5,not_recoverable,0.0,0.0,20.058,20.058,20.058,63.548,-256.87
-,2.0,5.0,-250.0,0,0,5,not_recoverable,0.0,0.0,20.120,20.120,20.120,63.688,-173.45
-,2.0,5.0,-200.0,0,0,5,not_recoverable,0.0,0.0,20.029,20.029,20.029,63.310,-86.68
-,2.0,5.0,-150.0,0,0,5,not_recoverable,0.0,0.0,20.071,20.071,20.071,63.417,-4.45
-,2.0,5.0,-100.0,0,0,5,not_recoverable,0.0,0.0,20.077,20.077,20.077,63.416,65.49
-,2.0,5.0,-50.0,0,0,5,not_recoverable,0.0,0.0,20.110,20.110,20.110,63.525,97.12
-,2.0,5.0,0.0,0,0,5,not_recoverable,0.0,0.0,20.083,20.083,20.083,63.463,-10.22
-,2.0,5.0,50.0,0,0,5,not_recoverable,11.0,0.0,20.111,0.000,-20.111,-63.504,-460.66
-,2.0,5.0,100.0,0,0,5,not_recoverable,22.2,0.0,20.105,0.000,-20.105,-63.489,-275.58
