param,value,torque_margin,success_rate,sat_rate,settle_mean,peak_rpm,gear_ratio,tau_stall_motor,tau_m,omega_max_rpm
gear_ratio,1.0,0.7101104018362732,0.0,1.0,nan,1041.492426617515,1.0,0.09,0.06,3999.9999999999995
gear_ratio,1.5,1.0651656027544099,0.0,1.0,nan,1436.2263478189618,1.5,0.09,0.06,2666.666666666666
gear_ratio,2.0,1.4202208036725463,0.45,0.55,1.0575555555554947,1510.0847989130039,2.0,0.09,0.06,1999.9999999999998
gear_ratio,3.0,2.1303312055088197,0.95,0.0,0.565684210526309,156.87934132226695,3.0,0.09,0.06,1333.333333333333
gear_ratio,4.0,2.8404416073450927,0.95,0.0,0.565684210526309,156.87934132226695,4.0,0.09,0.06,999.9999999999999
gear_ratio,6.0,4.260662411017639,0.95,0.0,0.565684210526309,156.87934132226695,6.0,0.09,0.06,666.6666666666665
tau_stall_motor,0.04,0.7890115575958592,0.0,1.0,nan,1156.9161855974867,2.5,0.04,0.06,1599.9999999999998
tau_stall_motor,0.06,1.1835173363937888,0.0,1.0,nan,1599.8509917483714,2.5,0.06,0.06,1599.9999999999998
tau_stall_motor,0.08,1.5780231151917183,0.95,0.0,0.6363157894736695,193.11714924631764,2.5,0.08,0.06,1599.9999999999998
tau_stall_motor,0.1,1.9725288939896477,0.95,0.0,0.5657894736842037,157.0722569441129,2.5,0.1,0.06,1599.9999999999998
tau_stall_motor,0.12,2.3670346727875775,0.95,0.0,0.565684210526309,156.87934132226695,2.5,0.12,0.06,1599.9999999999998
tau_m,0.02,1.7752760045906828,1.0,0.0,0.34119999999999473,120.8215473898621,2.5,0.09,0.02,1599.9999999999998
tau_m,0.04,1.7752760045906828,1.0,0.0,0.37509999999999516,135.54917409753253,2.5,0.09,0.04,1599.9999999999998
tau_m,0.06,1.7752760045906828,0.95,0.0,0.5735789473684134,165.89178446852833,2.5,0.09,0.06,1599.9999999999998
tau_m,0.08,1.7752760045906828,0.8,0.0,1.2147499999999218,202.75983336632888,2.5,0.09,0.08,1599.9999999999998
tau_m,0.1,1.7752760045906828,0.0,0.95,nan,1568.436589166488,2.5,0.09,0.1,1599.9999999999998
tau_m,0.12,1.7752760045906828,0.0,1.0,nan,1579.2667748147835,2.5,0.09,0.12,1599.9999999999998
tau_m,0.15,1.7752760045906828,0.0,1.0,nan,1195.4197223555382,2.5,0.09,0.15,1599.9999999999998
