t,theta_deg,rate_dps,wheel_rpm,duty,phase
0.0,16.0,0.0,0.0,-1,SPINUP
0.002,16.0,0.0,-6.436476596174447,-1,SPINUP
0.004,16.0,0.0,-12.801832631651454,-1,SPINUP
0.006,16.0,0.0,-19.096853960939825,-1,SPINUP
0.008,16.0,0.0,-25.32231775516197,-1,SPINUP
0.01,16.0,0.0,-31.47899259800195,-1,SPINUP
0.012,16.0,0.0,-37.56763858059332,-1,SPINUP
0.014,16.0,0.0,-43.5890073953585,-1,SPINUP
0.016,16.0,0.0,-49.543842428811296,-1,SPINUP
0.018000000000000002,16.0,0.0,-55.43287885333392,-1,SPINUP
0.02,16.0,0.0,-61.256843717939944,-1,SPINUP
0.022,16.0,0.0,-67.0164560380344,-1,SPINUP
0.024,16.0,0.0,-72.71242688418201,-1,SPINUP
0.026000000000000002,16.0,0.0,-78.34545946989454,-1,SPINUP
0.028,16.0,0.0,-83.91624923844823,-1,SPINUP
0.03,16.0,0.0,-89.42548394874186,-1,SPINUP
0.032,16.0,0.0,-94.87384376020609,-1,SPINUP
0.034,16.0,0.0,-100.26200131677466,0.0,KICK
0.036000000000000004,16.0,0.0,-99.92835103845167,0.0,KICK
0.038,16.0,0.0,-99.5958110761683,0.0,KICK
0.04,16.0,0.0,-99.26437773503264,0.0,KICK
0.042,16.0,0.0,-98.9340473324486,0.0,KICK
0.044,16.0,0.0,-98.60481619807497,0.0,KICK
0.046,16.0,0.0,-98.27668067378468,0.0,KICK
0.048,16.0,0.0,-97.94963711362406,0.0,KICK
0.05,16.0,0.0,-97.62368188377242,0.0,KICK
0.052000000000000005,16.0,0.0,-97.29881136250161,0.0,KICK
0.054,16.0,0.0,-96.97502194013585,0.0,KICK
0.056,16.0,0.0,-96.65231001901155,0.0,KICK
0.058,16.0,0.0,-96.33067201343736,1,KICK
0.06,15.999181083827406,-0.8163597526028755,-92.56980762238835,1,KICK
0.062,15.996744693079599,-1.6175210253611252,-88.82977899169855,1,KICK
0.064,15.992720947381978,-2.403760475214357,-85.11047068808863,1,KICK
0.066,15.987139417085816,-3.1753507314340945,-81.41176791779719,1,KICK
0.068,15.980029131251497,-3.932560467509121,-77.73355652303772,1,KICK
0.07,15.97141858548924,-4.675654471800315,-74.07572297847518,1,KICK
0.07200000000000001,15.961335749659689,-5.404893716992775,-70.43815438772214,1,KICK
0.074,15.9498080754368,-6.120535428372502,-66.82073847985431,1,KICK
0.076,15.936862503735329,-6.822833150954367,-63.22336360594543,1,KICK
0.078,15.922525472005166,-7.51203681548759,-59.645918735621215,1,KICK
0.08,15.906822921394793,-8.188392803364403,-56.08829345363253,1,KICK
0.082,15.889780303785981,-8.85214401045711,-52.55037795644754,1,KICK
0.084,15.871422588701869,-9.50352990990818,-49.03206304886262,1,KICK
0.08600000000000001,15.851774270090475,-10.142786613897568,-45.5332401406322,1,KICK
0.088,15.830859372985703,-10.770146934410922,-42.05380124311718,1,KICK
0.09,15.808701460047772,-11.385840443031864,-38.59363896595191,1,KICK
0.092,15.78532363798503,-11.990093529781028,-35.15264651372971,1,KICK
0.094,15.760748563859005,-12.58312946102412,-31.730717682706672,1,KICK
0.096,15.734998451274583,-13.165168436470704,-28.327746857523774,1,KICK
0.098,15.70809507645705,-13.73642764528504,-24.94362900794714,1,KICK
