t,theta_deg,rate_dps,wheel_rpm,duty,phase
0.0,16.0,0.0,0.0,-1,SPINUP
0.002,16.0,0.0,-6.436476596174447,-1,SPINUP
0.004,16.0,0.0,-12.801832631651454,-1,SPINUP
0.006,16.0,0.0,-19.096853960939825,-1,SPINUP
0.008,16.0,0.0,-25.32231775516197,-1,SPINUP
0.01,16.0,0.0,-31.47899259800195,-1,SPINUP
0.012,16.0,0.0,-37.56763858059332,-1,SPINUP
0.014,16.0,0.0,-43.5890073953585,-1,SPINUP
0.016,16.0,0.0,-49.543842428811296,-1,SPINUP
0.018000000000000002,16.0,0.0,-55.43287885333392,-1,SPINUP
0.02,16.0,0.0,-61.256843717939944,-1,SPINUP
0.022,16.0,0.0,-67.0164560380344,-1,SPINUP
0.024,16.0,0.0,-72.71242688418201,-1,SPINUP
0.026000000000000002,16.0,0.0,-78.34545946989454,-1,SPINUP
0.028,16.0,0.0,-83.91624923844823,-1,SPINUP
0.03,16.0,0.0,-89.42548394874186,-1,SPINUP
0.032,16.0,0.0,-94.87384376020609,-1,SPINUP
0.034,16.0,0.0,-100.26200131677466,0.0,KICK
0.036000000000000004,16.0,0.0,-99.92835103845167,1,KICK
0.038,15.993961902162546,-6.0236332940782225,-92.38770506494282,1,KICK
0.04,15.97596254918897,-11.96164052304851,-84.93038029390299,1,KICK
0.042,15.946170890789936,-17.816319218272746,-77.55545605848143,1,KICK
0.044,15.904751310654774,-23.58993801237654,-70.26202186483769,1,KICK
0.046,15.851863683399788,-29.2847374850514,-63.04917727973384,1,KICK
0.048,15.78766342984512,-34.902930988722694,-55.91603181936867,1,KICK
0.05,15.712301570660271,-40.44670545421236,-48.861704839440314,1,KICK
0.052000000000000005,15.625924778418222,-45.91822217656217,-41.88532542642361,1,KICK
0.054,15.528675428097536,-51.31961758121463,-34.986032290048804,1,KICK
0.056,15.420691646071598,-56.65300397077502,-28.16297365696834,0.0,FALLEN
0.058,15.309066603612242,-54.974083732706276,-28.069253365375896,0.0,FALLEN
0.06,15.200787253930654,-53.30724951376438,-27.975844954665178,0.0,FALLEN
0.062,15.095829794366777,-51.65213227879204,-27.882747386963995,0.0,FALLEN
0.064,14.994171158289998,-50.008365024789164,-27.789959627853968,0.0,FALLEN
0.066,14.89578901108738,-48.375582728240545,-27.697480646359047,0.0,FALLEN
0.068,14.800661746258033,-46.753422291632845,-27.605309414934037,0.0,FALLEN
0.07,14.708768481615238,-45.141522489208754,-27.5134449094532,0.0,FALLEN
0.07200000000000001,14.620089055597774,-43.5395239120035,-27.42188610919886,0.0,FALLEN
0.074,14.534604023691873,-41.94706891220668,-27.33063199685007,0.0,FALLEN
0.076,14.452294654965074,-40.36380154689009,-27.239681558471318,0.0,FALLEN
0.078,14.373142928713232,-38.78936752114035,-27.14903378350123,0.0,FALLEN
0.08,14.297131531221824,-37.22341413063304,-27.058687664741385,0.0,FALLEN
0.082,14.22424385264264,-35.66559020368301,-26.968642198345083,0.0,FALLEN
0.084,14.154463983986856,-34.11554604280401,-26.878896383806218,0.0,FALLEN
0.08600000000000001,14.087776714235472,-32.57293336580899,-26.789449223948147,0.0,FALLEN
0.088,14.02416752756797,-31.037405246480688,-26.700299724912618,0.0,FALLEN
0.09,13.96362260071004,-29.508616054840754,-26.611446896148728,0.0,FALLEN
