spin_rpm,kick_ms,capture_deg,inertia_scale,I_w,case,tau,success,peak_opposite_deg,rise_deg,upright_s,capture_s,kick_start_s,tail_angle_deg,tail_rate_dps,impacted,final_phase
100,20,5,0.5,0.001225,nominal,0.18,False,0,0.10512741413435656,,,0.034,,,True,FALLEN
100,50,5,0.5,0.001225,nominal,0.18,False,0,0.45814958492772284,,,0.034,,,True,FALLEN
100,100,5,0.5,0.001225,nominal,0.18,False,0,1.1575443507050327,,,0.034,,,True,FALLEN
100,200,5,0.5,0.001225,nominal,0.18,False,0,1.5293102743570426,,,0.034,,,True,FALLEN
100,350,5,0.5,0.001225,nominal,0.18,False,0,1.5293102743570426,,,0.034,,,True,FALLEN
100,500,5,0.5,0.001225,nominal,0.18,False,0,1.5293102743570426,,,0.034,,,True,FALLEN
100,20,10,0.5,0.001225,nominal,0.18,False,0,0.10512741413435656,,,0.034,,,True,FALLEN
100,50,10,0.5,0.001225,nominal,0.18,False,0,0.45814958492772284,,,0.034,,,True,FALLEN
100,100,10,0.5,0.001225,nominal,0.18,False,0,1.1575443507050327,,,0.034,,,True,FALLEN
100,200,10,0.5,0.001225,nominal,0.18,False,0,1.5293102743570426,,,0.034,,,True,FALLEN
100,350,10,0.5,0.001225,nominal,0.18,False,0,1.5293102743570426,,,0.034,,,True,FALLEN
100,500,10,0.5,0.001225,nominal,0.18,False,0,1.5293102743570426,,,0.034,,,True,FALLEN
100,20,15,0.5,0.001225,nominal,0.18,False,0,0.10512741413435656,,,0.034,,,True,FALLEN
100,50,15,0.5,0.001225,nominal,0.18,False,0,0.45814958492772284,,,0.034,,,True,FALLEN
100,100,15,0.5,0.001225,nominal,0.18,False,0,1.476609027383601,,0.13,0.034,16.0,0.0,True,FALLEN
100,200,15,0.5,0.001225,nominal,0.18,False,0,1.476609027383601,,0.13,0.034,16.0,0.0,True,FALLEN
100,350,15,0.5,0.001225,nominal,0.18,False,0,1.476609027383601,,0.13,0.034,16.0,0.0,True,FALLEN
100,500,15,0.5,0.001225,nominal,0.18,False,0,1.476609027383601,,0.13,0.034,16.0,0.0,True,FALLEN
150,20,5,0.5,0.001225,nominal,0.18,False,0,0.1454372761703695,,,0.054,,,True,FALLEN
150,50,5,0.5,0.001225,nominal,0.18,False,0,0.6515977621157241,,,0.054,,,True,FALLEN
150,100,5,0.5,0.001225,nominal,0.18,False,0,1.7923239122959753,,,0.054,,,True,FALLEN
150,200,5,0.5,0.001225,nominal,0.18,False,0,3.187560331282439,,,0.054,,,True,FALLEN
