dataset,n,side,cap_deg,cap_dps,cap_rpm,obs_sat,obs_held,pred_held,pred_sat,pred_fail,pred_held_s,pred_max_abs
campaign,1,-,-6.322,40.323,-47.66,31,False,True,0.0,,3.0,6.3
campaign,2,+,6.246,-47.753,28.86,16,False,True,0.0,,3.0,6.2
campaign,3,-,-6.493,57.01,-93.64,0,True,True,0.0,,3.0,6.5
campaign,4,+,6.106,-36.853,72.43,0,True,True,0.0,,3.0,6.1
campaign,5,+,7.621,-52.395,39.13,22,False,True,0.4,,3.0,7.6
campaign,6,+,6.776,-40.685,19.36,0,True,True,0.0,,3.0,6.8
campaign,7,+,5.708,-47.021,-31.35,26,False,True,2.8,,3.0,5.7
campaign,8,+,7.333,-44.547,-23.13,27,False,True,0.0,,3.0,7.3
today_left,1,-,-7.3,63.0,-291.0,37.0,False,True,0.0,,3.0,7.3
today_left,2,-,-8.0,85.0,-349.0,46.0,False,True,0.0,,3.0,8.0
today_left,3,-,-7.8,88.0,-205.0,48.0,False,True,5.0,,3.0,7.8
today_left,6,-,-5.3,71.0,-266.0,42.0,False,True,0.0,,3.0,5.3
today_left,7,-,-7.4,60.0,-93.0,2.0,True,True,1.2,,3.0,7.4
today_left,8,-,-7.0,42.0,-40.0,29.0,False,True,0.0,,3.0,7.0
today_left,9,-,-7.7,62.0,43.0,35.0,False,True,7.2,,3.0,7.7
today_left,10,-,-6.4,44.0,-36.0,14.0,False,True,0.0,,3.0,6.4
today_left,11,-,-5.5,57.0,-87.0,2.0,False,True,0.8,,3.0,5.5
today_left,13,-,-6.3,40.0,-32.0,29.0,False,True,0.0,,3.0,6.3
today_left,14,-,-8.7,63.0,-24.0,34.0,False,True,4.2,,3.0,8.7
today_left,15,-,-5.7,24.0,-9.0,41.0,False,True,0.0,,3.0,5.7
today_left,16,-,-7.8,45.0,-63.0,22.0,False,True,0.0,,3.0,7.8
today_left,18,-,-4.9,18.0,6.0,40.0,False,True,0.0,,3.0,4.9
today_left,19,-,-5.9,43.0,41.0,38.0,False,True,1.2,,3.0,5.9
today_left,20,-,-5.5,17.0,1.0,41.0,False,True,0.0,,3.0,5.5
today_left,22,-,-4.9,20.0,-10.0,33.0,False,True,0.0,,3.0,4.9
