spin_rpm,kick_ms,capture_deg,rate_dps,g_crit,held_g28,abort,cap_theta,cap_rate,cap_wheel,t_cap_ms
350,450,5.0,40,27.19,0,kick_expired,nan,nan,nan,-1
350,450,5.0,50,26.56,0,kick_expired,nan,nan,nan,-1
350,450,5.0,55,25.94,0,kick_expired,nan,nan,nan,-1
350,450,5.0,60,25.31,0,kick_expired,nan,nan,nan,-1
350,450,5.0,65,25.31,0,kick_expired,nan,nan,nan,-1
350,450,5.0,75,24.06,0,kick_expired,nan,nan,nan,-1
350,450,5.0,90,22.81,0,kick_expired,nan,nan,nan,-1
350,450,8.0,40,27.81,0,kick_expired,nan,nan,nan,-1
350,450,8.0,50,26.56,0,kick_expired,nan,nan,nan,-1
350,450,8.0,55,25.94,0,kick_expired,nan,nan,nan,-1
350,450,8.0,60,25.31,0,kick_expired,nan,nan,nan,-1
350,450,8.0,65,25.31,0,kick_expired,nan,nan,nan,-1
350,450,8.0,75,24.06,0,kick_expired,nan,nan,nan,-1
350,450,8.0,90,22.81,0,kick_expired,nan,nan,nan,-1
350,450,10.0,40,27.81,0,kick_expired,nan,nan,nan,-1
350,450,10.0,50,26.56,0,kick_expired,nan,nan,nan,-1
350,450,10.0,55,25.94,0,kick_expired,nan,nan,nan,-1
350,450,10.0,60,25.31,0,kick_expired,nan,nan,nan,-1
350,450,10.0,65,25.31,0,kick_expired,nan,nan,nan,-1
350,450,10.0,75,24.06,0,kick_expired,nan,nan,nan,-1
350,450,10.0,90,22.81,0,kick_expired,nan,nan,nan,-1
450,450,5.0,40,30.94,1,,-4.0,52.0,-364.0,650
450,450,5.0,50,30.31,1,,-4.0,52.0,-364.0,650
450,450,5.0,55,29.69,1,,-4.0,52.0,-364.0,650
450,450,5.0,60,29.69,1,,-4.0,52.0,-364.0,650
450,450,5.0,65,29.06,1,,-4.0,52.0,-364.0,650
450,450,5.0,75,28.44,1,,0.4,61.0,-423.0,728
450,450,5.0,90,27.19,0,kick_expired,nan,nan,nan,-1
450,450,8.0,40,31.56,1,,-6.9,48.0,-304.0,592
450,450,8.0,50,30.31,1,,-6.9,48.0,-304.0,592
450,450,8.0,55,29.69,1,,-6.9,48.0,-304.0,592
450,450,8.0,60,29.69,1,,-6.9,48.0,-304.0,592
450,450,8.0,65,29.06,1,,-4.9,51.0,-347.0,632
450,450,8.0,75,28.44,1,,0.4,61.0,-423.0,728
450,450,8.0,90,27.19,0,kick_expired,nan,nan,nan,-1
450,450,10.0,40,31.56,1,,-8.8,46.0,-249.0,550
450,450,10.0,50,30.31,1,,-8.8,46.0,-249.0,550
450,450,10.0,55,29.69,1,,-8.8,46.0,-249.0,550
450,450,10.0,60,29.69,1,,-8.8,46.0,-249.0,550
450,450,10.0,65,29.06,1,,-4.9,51.0,-347.0,632
450,450,10.0,75,28.44,1,,0.4,61.0,-423.0,728
450,450,10.0,90,27.19,0,kick_expired,nan,nan,nan,-1
550,450,5.0,40,35.94,1,,-4.0,46.0,-201.0,942
550,450,5.0,50,35.31,1,,-4.5,52.0,-154.0,854
550,450,5.0,55,34.69,1,,-3.7,64.0,-209.0,860
550,450,5.0,60,34.69,1,,-3.0,76.0,-270.0,868
550,450,5.0,65,34.06,1,,-3.0,76.0,-270.0,868
550,450,5.0,75,33.44,1,,-3.0,76.0,-270.0,868
550,450,5.0,90,32.19,1,,-3.0,76.0,-270.0,868
550,450,8.0,40,36.56,1,,-8.2,32.0,-34.0,812
550,450,8.0,50,35.31,1,,-6.2,62.0,-179.0,824
550,450,8.0,55,34.69,1,,-6.2,68.0,-205.0,824
550,450,8.0,60,34.69,1,,-6.2,68.0,-205.0,824
550,450,8.0,65,34.06,1,,-6.2,68.0,-205.0,824
550,450,8.0,75,33.44,1,,-6.2,68.0,-205.0,824
550,450,8.0,90,32.19,1,,-3.0,76.0,-270.0,868
550,450,10.0,40,36.56,1,,-9.3,41.0,-41.0,782
550,450,10.0,50,35.31,1,,-8.2,63.0,-153.0,794
550,450,10.0,55,34.69,1,,-8.2,63.0,-153.0,794
550,450,10.0,60,34.69,1,,-8.2,63.0,-153.0,794
550,450,10.0,65,34.06,1,,-8.2,63.0,-153.0,794
550,450,10.0,75,33.44,1,,-8.2,63.0,-153.0,794
550,450,10.0,90,32.19,1,,-3.0,76.0,-270.0,868
