angle_deg,rate_dps,wheel_rpm,g_crit,holds_g28,sat_pct_g28
4.0,20,-350,33.59,1,0.0
4.0,20,-300,35.16,1,0.0
4.0,20,-250,36.41,1,0.0
4.0,20,-200,37.03,1,0.0
4.0,20,-150,37.34,1,0.0
4.0,20,-100,36.72,1,0.0
4.0,20,-50,35.78,1,0.0
4.0,20,0,36.09,1,0.0
4.0,20,50,35.16,1,0.0
4.0,20,100,33.91,1,0.0
4.0,20,150,32.97,1,0.0
4.0,30,-350,35.16,1,0.0
4.0,30,-300,36.72,1,0.0
4.0,30,-250,41.0,1,0.0
4.0,30,-200,41.0,1,0.0
4.0,30,-150,39.53,1,0.0
4.0,30,-100,37.97,1,0.0
4.0,30,-50,37.66,1,0.0
4.0,30,0,37.03,1,0.0
4.0,30,50,35.47,1,0.0
4.0,30,100,33.91,1,0.0
4.0,30,150,32.97,1,1.6
4.0,40,-350,37.34,1,0.0
4.0,40,-300,39.22,1,0.0
4.0,40,-250,41.0,1,0.0
4.0,40,-200,41.0,1,0.0
4.0,40,-150,41.0,1,0.0
4.0,40,-100,41.0,1,0.0
4.0,40,-50,38.91,1,0.0
4.0,40,0,37.03,1,0.0
4.0,40,50,35.47,1,1.0
4.0,40,100,33.91,1,3.6
4.0,40,150,32.97,1,6.8
4.0,50,-350,41.0,1,0.0
4.0,50,-300,41.0,1,0.0
4.0,50,-250,41.0,1,0.0
4.0,50,-200,41.0,1,0.0
4.0,50,-150,41.0,1,0.0
4.0,50,-100,41.0,1,0.0
4.0,50,-50,38.59,1,0.0
4.0,50,0,36.72,1,3.6
4.0,50,50,34.84,1,6.0
4.0,50,100,33.59,1,9.4
4.0,50,150,32.66,1,14.8
4.0,60,-350,41.0,1,0.0
4.0,60,-300,41.0,1,0.0
4.0,60,-250,41.0,1,0.0
4.0,60,-200,41.0,1,0.0
4.0,60,-150,41.0,1,0.0
4.0,60,-100,41.0,1,2.0
4.0,60,-50,37.66,1,5.4
4.0,60,0,35.78,1,9.4
4.0,60,50,34.22,1,13.8
4.0,60,100,33.28,1,22.0
4.0,60,150,30.47,1,40.0
4.0,70,-350,41.0,1,0.0
4.0,70,-300,41.0,1,0.0
4.0,70,-250,41.0,1,0.0
4.0,70,-200,41.0,1,1.8
4.0,70,-150,41.0,1,3.6
4.0,70,-100,37.97,1,7.2
4.0,70,-50,35.47,1,12.2
4.0,70,0,33.59,1,25.4
4.0,70,50,30.16,1,47.2
4.0,70,100,19.0,0,52.8
4.0,70,150,19.0,0,47.4
4.0,80,-350,41.0,1,0.0
4.0,80,-300,41.0,1,1.0
4.0,80,-250,41.0,1,2.8
4.0,80,-200,39.84,1,5.2
4.0,80,-150,37.03,1,10.2
4.0,80,-100,35.16,1,18.2
4.0,80,-50,27.34,0,58.8
4.0,80,0,19.0,0,54.8
4.0,80,50,19.0,0,51.0
4.0,80,100,19.0,0,47.4
4.0,80,150,19.0,0,44.2
4.0,90,-350,41.0,1,2.4
4.0,90,-300,41.0,1,4.4
4.0,90,-250,37.97,1,7.0
4.0,90,-200,35.78,1,14.8
4.0,90,-150,31.41,1,51.6
4.0,90,-100,19.0,0,58.4
4.0,90,-50,19.0,0,53.6
4.0,90,0,19.0,0,50.6
4.0,90,50,19.0,0,47.8
4.0,90,100,19.0,0,45.2
4.0,90,150,19.0,0,42.6
5.0,20,-350,31.72,1,0.0
5.0,20,-300,32.66,1,0.0
5.0,20,-250,33.28,1,0.0
5.0,20,-200,33.91,1,0.0
5.0,20,-150,33.91,1,0.0
5.0,20,-100,33.59,1,0.0
5.0,20,-50,33.28,1,0.0
5.0,20,0,33.28,1,0.0
5.0,20,50,32.97,1,0.0
5.0,20,100,32.34,1,0.0
5.0,20,150,31.72,1,0.0
5.0,30,-350,33.91,1,0.0
5.0,30,-300,35.16,1,0.0
5.0,30,-250,35.78,1,0.0
5.0,30,-200,35.78,1,0.0
5.0,30,-150,35.47,1,0.0
5.0,30,-100,34.84,1,0.0
5.0,30,-50,34.53,1,0.0
5.0,30,0,34.22,1,0.0
5.0,30,50,33.59,1,0.0
5.0,30,100,32.66,1,0.0
5.0,30,150,31.72,1,1.0
5.0,40,-350,35.78,1,0.0
5.0,40,-300,37.03,1,0.0
5.0,40,-250,38.28,1,0.0
5.0,40,-200,37.97,1,0.0
5.0,40,-150,37.03,1,0.0
5.0,40,-100,36.09,1,0.0
5.0,40,-50,35.78,1,0.0
5.0,40,0,34.84,1,0.0
5.0,40,50,33.91,1,0.0
5.0,40,100,32.66,1,3.0
5.0,40,150,32.03,1,5.6
5.0,50,-350,37.97,1,0.0
5.0,50,-300,39.22,1,0.0
5.0,50,-250,39.84,1,0.0
5.0,50,-200,39.53,1,0.0
5.0,50,-150,38.28,1,0.0
5.0,50,-100,37.66,1,0.0
5.0,50,-50,36.41,1,0.0
5.0,50,0,35.47,1,3.0
5.0,50,50,33.91,1,5.0
5.0,50,100,35.16,1,7.6
5.0,50,150,32.34,1,11.4
5.0,60,-350,41.0,1,0.0
5.0,60,-300,41.0,1,0.0
5.0,60,-250,41.0,1,0.0
5.0,60,-200,41.0,1,0.0
5.0,60,-150,39.84,1,0.0
5.0,60,-100,37.97,1,1.8
5.0,60,-50,36.72,1,4.4
5.0,60,0,35.47,1,7.6
5.0,60,50,33.91,1,10.2
5.0,60,100,32.97,1,15.2
5.0,60,150,32.03,1,23.4
5.0,70,-350,41.0,1,0.0
5.0,70,-300,41.0,1,0.0
5.0,70,-250,41.0,1,0.0
5.0,70,-200,41.0,1,1.0
5.0,70,-150,41.0,1,3.0
5.0,70,-100,37.97,1,5.8
5.0,70,-50,36.09,1,9.8
5.0,70,0,34.53,1,15.2
5.0,70,50,33.91,1,23.2
5.0,70,100,30.78,1,41.6
5.0,70,150,19.0,0,51.4
5.0,80,-350,41.0,1,0.0
5.0,80,-300,41.0,1,0.6
5.0,80,-250,41.0,1,2.4
5.0,80,-200,41.0,1,4.4
5.0,80,-150,38.59,1,8.0
5.0,80,-100,36.09,1,12.4
5.0,80,-50,35.16,1,22.6
5.0,80,0,23.91,0,57.4
5.0,80,50,19.0,0,54.4
5.0,80,100,19.0,0,49.4
5.0,80,150,19.0,0,45.6
5.0,90,-350,41.0,1,2.2
5.0,90,-300,41.0,1,4.0
5.0,90,-250,41.0,1,5.8
5.0,90,-200,37.97,1,10.2
5.0,90,-150,35.47,1,17.8
5.0,90,-100,30.47,1,51.2
5.0,90,-50,19.0,0,57.0
5.0,90,0,19.0,0,52.4
5.0,90,50,19.0,0,49.2
5.0,90,100,19.0,0,46.2
5.0,90,150,19.0,0,43.4
6.0,20,-350,29.53,1,22.6
6.0,20,-300,30.47,1,12.2
6.0,20,-250,30.78,1,0.0
6.0,20,-200,31.41,1,0.0
6.0,20,-150,31.41,1,0.0
6.0,20,-100,31.41,1,0.0
6.0,20,-50,31.09,1,0.0
6.0,20,0,31.41,1,0.0
6.0,20,50,31.09,1,0.0
6.0,20,100,31.09,1,0.0
6.0,20,150,30.16,1,0.0
6.0,30,-350,31.72,1,0.0
6.0,30,-300,32.34,1,0.0
6.0,30,-250,32.66,1,0.0
6.0,30,-200,32.97,1,0.0
6.0,30,-150,32.97,1,0.0
6.0,30,-100,32.34,1,0.0
6.0,30,-50,32.34,1,0.0
6.0,30,0,32.34,1,0.0
6.0,30,50,31.72,1,0.0
6.0,30,100,31.09,1,0.0
6.0,30,150,30.47,1,0.4
6.0,40,-350,33.91,1,0.0
6.0,40,-300,34.53,1,0.0
6.0,40,-250,34.53,1,0.0
6.0,40,-200,34.53,1,0.0
