dataset,n,held,obs_sat,g_crit
campaign,1,False,31,32.96875
campaign,2,False,16,33.28125
campaign,3,True,0,34.53125
campaign,4,True,0,32.96875
campaign,5,False,22,31.40625
campaign,6,True,0,31.71875
campaign,7,False,26,33.28125
campaign,8,False,27,30.78125
today_left,1,False,37.0,34.84375
today_left,2,False,46.0,36.40625
today_left,3,False,48.0,35.78125
today_left,6,False,42.0,41.0
today_left,7,True,2.0,32.65625
today_left,8,False,29.0,31.71875
today_left,9,False,35.0,31.71875
today_left,10,False,14.0,32.96875
today_left,11,False,2.0,36.09375
today_left,13,False,29.0,32.65625
today_left,14,False,34.0,31.09375
today_left,15,False,41.0,32.34375
today_left,16,False,22.0,30.78125
today_left,18,False,40.0,33.28125
today_left,19,False,38.0,32.65625
today_left,20,False,41.0,31.71875
today_left,22,False,33.0,33.59375
