date,spin_rpm,kick_ms,capture_deg,energy_k,firmware_note,spinup_ms,peak_rate_dps,capture_deg_actual,capture_rate_dps,overshoot_deg,settle_ms,result,note
2026-09-20,100,20,10,,angle handover,,10,,,,,abort_kick_expired,ยกขึ้นได้ 1.7 องศา (ค่าปลอดภัยรอบแรก)
2026-09-20,100,100,10,,angle handover,,,,,,,abort_spin_guard,ตัวป้องกัน 10 dps ตอนหมุนล้อเข้มเกินไป -> ผ่อนเป็น 4 องศา/40 dps
2026-09-20,100,100,10,,guards loosened,60,,,,,,abort_kick_expired,ยกถึง ~-6 องศา แต่เบรกตอน abort ดึงกลับ
2026-09-20,100,200,10,,accel gating,,,-9.5,-12,,,fell,ส่งต่อตอนกำลังตกกลับ ล้อชนเพดานความเร็ว
2026-09-20,200,350,10,,,,,,,,,abort_fg_overspeed,FG พัลส์หลอก 782 rpm ตอนกลับทิศ -> เช็คเฉพาะช่วงหมุนล้อ
2026-09-20,200,350,10,,fg guard fixed,,,-9.5,31,,,fell,ล้อเหลือความเร็วติดลบมาก ไม่มี headroom
2026-09-20,350,350,10,,,,,-9.5,31,,,fell,ยกถึง -3 องศา แล้วล้อชนเพดาน
2026-09-20,500,350,10,,spin duty scaled,391,,-9.5,,4.4,,balanced,**สำเร็จครั้งแรก** ทรงตัวต่อได้
2026-09-20,500,350,10,,,,,,,,,abort_fg_lost,FG หลุดกลางช่วงหมุนล้อ -> เพิ่ม fallback ด้วยโมเดล
2026-09-20,500,350,10,,model fallback,391,,-7.2,49,-0.5,,fell,ค้างที่ -4.5 องศา ล้อเร่งได้จริงแค่ ~40 rad/s^2
2026-09-20,500,350,10,,,397,,-8.0,15,1.6,,fell,เหมือนรอบก่อน
2026-09-20,500,350,10,,FG pull-up 4.7k ติดตั้ง,393,,-8.2,39,0.0,,fell,ค่า FG กระโดด -436..-21 rpm
2026-09-20,500,350,10,,blended estimator,391,,-7.8,50,1.7,,fell,FG สะอาดขึ้น แต่แรงไม่พอ (ถอด R ออกแล้ว)
2026-09-21,550,450,6,,capture arg added,529,200,-5.3,195,15.9,,fell,แรงเกิน เลยไปล้มอีกฝั่ง
2026-09-21,550,450,8,,,553,73,-7.7,76,4.1,1432,balanced,ได้ค่ากลางที่ใช้ได้
2026-09-21,550,450,8,,,531,284,-6.2,17,-5.5,,fell,ผลแกว่งมาก (จังหวะล้อไม่เท่ากัน) -> ใส่เกณฑ์พลังงาน
2026-09-21,550,450,8,70,energy handover,531,74,-7.5,69,5.4,1495,balanced,เกณฑ์พลังงาน v1
2026-09-21,550,450,8,70,energy handover,450,77,-7.7,68,3.1,1527,balanced,ซ้ำได้ผลเกือบเท่ากัน
2026-09-21,550,450,8,70,energy handover,470,85,-8.5,56,16.6,,fell,เกณฑ์ตัดตั้งแต่ ~12 องศา -> จำกัดให้ตัดได้เฉพาะ <=10 องศา
2026-09-21,550,450,8,70,energy handover <=10deg,473,106,-9.9,116,15.6,,fell,ยังเร็วเกินตอนเข้าหน้าต่าง 10 องศา -> เลิกใช้สูตรพลังงาน
2026-09-21,550,450,8,75,rate window 60-90 dps,469,85,-5.7,70,5.7,1178,balanced,กติกาใหม่: เตะ->ไหล->ส่งต่อในช่วงความเร็ว
2026-09-21,550,450,8,75,rate window 60-90 dps,473,87,-7.7,90,7.4,2556,balanced,
2026-09-21,550,450,8,75,rate window 60-90 dps,432,89,-6.4,90,6.2,998,balanced,**3/3 สำเร็จ -> ตั้งเป็นค่าเริ่มต้นใน config.h**
