n,side,rest_deg,spinup_ms,peak_dps,cap_deg,cap_dps,cap_rpm,overshoot_deg,sat_pct,held_ms,result,note
1,-,-17.7,495,68,-6.5,46,-267,17.7,0,1660,FELL,""
2,-,-17.4,471,69,-6.9,61,-131,19.9,0,3495,held,""
3,-,-17.7,439,69,-7.3,59,-116,17.3,0,2814,FELL,""
4,-,-15.0,435,66,-5.5,56,-170,6.8,0,3328,held,""
5,-,-17.7,436,70,-7.2,53,-77,1.0,27,1246,FELL,""
6,-,-17.7,436,68,-5.3,28,-176,17.7,0,2706,FELL,""
7,-,-17.7,433,64,-6.8,50,-91,3.1,33,1136,FELL,""
8,-,-17.6,411,70,-7.5,52,-75,0.2,24,1372,FELL,""
9,-,-17.4,436,58,-7.7,57,-307,7.7,20,4792,held,""
10,-,-17.7,245,54,-7.4,53,-350,6.8,0,3155,held,""
11,-,-17.7,434,59,-7.7,40,-52,-2.4,30,974,FELL,""
12,-,-17.6,453,62,-8.2,37,-94,-2.8,27,1048,FELL,""
13,-,-17.6,414,58,-8.0,56,-315,7.2,12,4570,held,""
14,-,-15.5,414,69,-7.4,53,-287,5.6,4,16985,held,""
15,-,-17.7,415,62,-6.3,32,30,-1.2,36,736,FELL,""
16,-,-17.7,436,59,-8.4,20,-43,-3.2,36,871,FELL,""
17,-,-16.6,453,65,-7.2,43,32,-1.6,38,803,FELL,""
18,-,-17.7,430,60,-7.4,31,-22,-1.5,56,524,FELL,""
19,-,-16.1,415,59,-8.5,28,-46,-3.0,30,947,FELL,""
20,-,-17.7,417,62,-8.0,23,34,0.8,32,852,FELL,""
21,-,-17.7,413,56,-5.2,20,30,-0.3,38,761,FELL,""
22,-,-14.8,371,67,-6.5,60,-276,2.8,0,51269,held,""
23,-,-15.1,451,61,-4.6,25,-270,3.7,0,2946,FELL,""
24,-,-17.6,476,74,-6.7,54,-278,18.6,24,1175,FELL,""
25,-,-17.6,451,76,-7.4,78,-297,16.4,24,1115,FELL,""
26,-,-15.9,411,81,-8.0,87,-332,17.5,26,960,FELL,""
27,-,-17.6,414,85,-6.2,81,-246,19.4,28,670,FELL,""
28,-,-17.6,414,90,-6.0,88,-250,17.7,31,819,FELL,""
29,-,-15.3,395,82,-7.8,88,-341,17.1,22,1100,FELL,""
30,-,-17.6,411,84,-8.0,87,-324,17.6,23,967,FELL,""
31,-,-17.6,394,89,-6.8,91,-318,16.6,28,969,FELL,""
32,-,-17.6,388,90,-6.1,90,-288,16.4,23,981,FELL,""
33,-,-17.2,102,55,,,,,,,no-capture,"min|theta|=6.1"

7/33 held >= 3s  |  duty saturation: held 5% (n=7)  not-held 25% (n=25)
