n,side,rest_deg,spinup_ms,peak_dps,cap_deg,cap_dps,cap_rpm,overshoot_deg,sat_pct,held_ms,result,note
1,-,-15.7,512,78,-7.3,63,-291,17.0,37,888,FELL,""
2,-,-16.8,455,80,-8.0,85,-349,16.9,46,952,FELL,""
3,-,-14.4,477,93,-7.8,88,-205,18.1,48,1113,FELL,""
4,-,-15.7,,4,,,,,,,no-capture,"min|theta|=15.7"
5,-,-16.1,,5,,,,,,,no-capture,"min|theta|=16.1"
6,-,-17.8,451,89,-5.3,71,-266,17.2,42,828,FELL,""
7,-,-15.6,450,70,-7.4,60,-93,4.3,2,5086,held,""
8,-,-16.2,412,74,-7.0,42,-40,-1.0,29,1241,FELL,""
9,-,-16.4,414,69,-7.7,62,43,-1.0,35,1009,FELL,""
10,-,-17.2,411,70,-6.4,44,-36,16.1,14,1866,FELL,""
11,-,-17.9,451,78,-5.5,57,-87,16.9,2,2334,FELL,""
12,-,-14.9,,3,,,,,,,no-capture,"min|theta|=14.9"
13,-,-17.9,431,84,-6.3,40,-32,-1.3,29,1250,FELL,""
14,-,-17.9,436,68,-8.7,63,-24,-1.8,34,975,FELL,""
15,-,-16.2,414,65,-5.7,24,-9,-0.6,41,1013,FELL,""
16,-,-17.9,396,71,-7.8,45,-63,16.9,22,1712,FELL,""
17,-,-16.0,,4,,,,,,,no-capture,"min|theta|=16.0"
18,-,-16.7,414,71,-4.9,18,6,-1.7,40,982,FELL,""
19,-,-17.8,392,66,-5.9,43,41,-2.5,38,597,FELL,""
20,-,-17.9,388,74,-5.5,17,1,-1.8,41,1139,FELL,""
21,-,-16.5,,14,,,,,,,no-capture,"min|theta|=16.5"
22,-,-17.3,394,70,-4.9,20,-10,1.8,33,984,FELL,""

1/22 held >= 3s  |  duty saturation: held 2% (n=1)  not-held 33% (n=16)
